budgetId,amount,type,owner,date
0001,250.00,groceries,张三,2024-01-15
0002,320.00,health,李四,2024-02-20
0003,180.00,food,王五,2024-03-25
0004,450.00,rent,赵六,2024-04-10
0005,580.00,entertainment,孙七,2024-05-18
0006,280.00,groceries,张三,2024-06-22
0007,360.00,health,李四,2024-07-28
0008,190.00,food,王五,2024-08-03
0009,420.00,rent,赵六,2024-09-12
0010,550.00,entertainment,孙七,2024-10-19
0011,230.00,groceries,张三,2024-11-25
0012,340.00,health,李四,2024-12-01
0013,170.00,food,王五,2025-01-07
0014,480.00,rent,赵六,2025-02-13
0015,520.00,entertainment,孙七,2025-03-20
0016,260.00,groceries,张三,2025-04-26
0017,310.00,health,李四,2025-05-02
0018,160.00,food,王五,2025-06-08
0019,440.00,rent,赵六,2025-07-14
0020,570.00,entertainment,孙七,2025-08-21
0021,240.00,groceries,张三,2025-09-27
0022,330.00,health,李四,2025-10-03
0023,185.00,food,王五,2025-11-09
0024,460.00,rent,赵六,2025-12-15
0025,530.00,entertainment,孙七,2026-01-21
0026,270.00,groceries,张三,2026-02-27
0027,350.00,health,李四,2026-03-05
0028,195.00,food,王五,2026-04-11
0029,430.00,rent,赵六,2026-05-17
0030,560.00,entertainment,孙七,2026-06-23
0031,220.00,groceries,张三,2026-07-29
0032,370.00,health,李四,2026-08-04
0033,175.00,food,王五,2026-09-10
0034,470.00,rent,赵六,2026-10-16
0035,510.00,entertainment,孙七,2026-11-22
0036,290.00,groceries,张三,2026-12-28
0037,300.00,health,李四,2027-01-03
0038,182.00,food,王五,2027-02-09
0039,455.00,rent,赵六,2027-03-15
0040,540.00,entertainment,孙七,2027-04-21
